ca
Integration time [ms]:   1,000
Averaging Nr. [scans]: 15
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804350U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 291,32;   -8,733;   -3,337;    0,000;-5,39582
 291,49;    0,747;   16,467;    0,000;-15,72088
 291,66;   -5,554;   -9,401;    0,000; 3,84715
 291,83;   10,198;    0,796;    0,000; 9,40189
 292,00;   -7,498;    8,065;    0,000;-15,56302
 292,17;    2,201;   -4,537;    0,000; 6,73855
 292,34;  -11,262;  -12,671;    0,000; 1,40874
 292,51;    7,292;   -4,069;    0,000;11,36118
 292,68;   -0,124;    8,530;    0,000;-8,65336
 292,85;   -8,515;    6,930;    0,000;-15,44526
 293,02;   20,707;   -2,935;    0,000;23,64196
 293,19;   -1,645;  -11,136;    0,000; 9,49098
 293,35;    8,344;  -11,604;    0,000;19,94706
 293,52;   -4,614;   13,799;    0,000;-18,41349
 293,69;   -0,524;   -4,604;    0,000; 4,07935
 293,86;    2,031;   -8,206;    0,000;10,23742
 294,03;    2,339;  -17,871;    0,000;20,20916
 294,20;    7,319;    2,932;    0,000; 4,38651
 294,37;   -4,820;    2,528;    0,000;-7,34826
 294,54;  -26,526;   14,263;    0,000;-40,78918
 294,71;  -18,031;  -11,406;    0,000;-6,62468
 294,88;   -4,134;   -8,338;    0,000; 4,20397
 295,05;   -7,623;  -10,739;    0,000; 3,11550
 295,21;  -10,799;   -1,537;    0,000;-9,26145
 295,38;    4,027;   -6,207;    0,000;10,23389
 295,55;  -14,894;  -18,939;    0,000; 4,04510
 295,72;  -15,625;   -6,539;    0,000;-9,08616
 295,89;  -13,887;    9,795;    0,000;-23,68180
 296,06;    0,491;   10,797;    0,000;-10,30632
 296,23;    7,506;    8,527;    0,000;-1,02136
 296,40;   -6,563;    5,994;    0,000;-12,55739
 296,57;  -25,090;    9,061;    0,000;-34,15075
 296,74;    2,790;  -24,871;    0,000;27,66108
 296,91;   -1,058;   -2,737;    0,000; 1,67873
 297,07;  -15,380;    5,060;    0,000;-20,43984
 297,24;   -5,816;    9,928;    0,000;-15,74390
 297,41;   16,021;   -1,203;    0,000;17,22390
 297,58;    3,088;    0,326;    0,000; 2,76182
