sodiu sat
Integration time [ms]: 250,000
Averaging Nr. [scans]: 15
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804350U2
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 291,32;   -5,733;   26,075;    0,000;-31,80846
 291,49;  170,074;  111,985;    0,000;58,08895
 291,66;   21,635;  -75,977;    0,000;97,61175
 291,83;  199,402;  118,078;    0,000;81,32412
 292,00;   79,226;   64,036;    0,000;15,19022
 292,17;  138,350;   94,074;    0,000;44,27673
 292,34;    6,129;   -9,930;    0,000;16,05971
 292,51;   -4,166;  -70,953;    0,000;66,78721
 292,68;  132,992;  103,064;    0,000;29,92788
 292,85;   86,833;  -26,946;    0,000;113,77903
 293,02;  274,682;  147,030;    0,000;127,65247
 293,19;   19,188;  -33,949;    0,000;53,13756
 293,35;   69,985;    4,064;    0,000;65,92195
 293,52;  176,642;   95,016;    0,000;81,62586
 293,69;   22,635;  -41,935;    0,000;64,57010
 293,86;   81,884;  121,115;    0,000;-39,23160
 294,03;  189,323;  119,069;    0,000;70,25378
 294,20;  106,775;  109,016;    0,000;-2,24081
 294,37;   -8,705; -124,902;    0,000;116,19736
 294,54;   19,697;  -75,933;    0,000;95,63009
 294,71;  105,546;   48,110;    0,000;57,43657
 294,88;   88,170;   45,075;    0,000;43,09450
 295,05;   -3,526;  -19,899;    0,000;16,37217
 295,21;   80,750;  -30,926;    0,000;111,67673
 295,38;   74,305;   -5,881;    0,000;80,18542
 295,55;  125,265;   19,106;    0,000;106,15881
 295,72;   29,766;  -33,897;    0,000;63,66253
 295,89;   69,398;  -54,902;    0,000;124,30033
 296,06;  161,647;   62,048;    0,000;99,59906
 296,23;  148,295;   10,106;    0,000;138,18918
 296,40;  101,170;   47,109;    0,000;54,06102
 296,57;   64,600;  -47,899;    0,000;112,49958
 296,74;  138,651;    6,087;    0,000;132,56408
 296,91;  146,611;   32,066;    0,000;114,54565
 297,07;  130,614;   93,128;    0,000;37,48613
 297,24;   87,461;   13,093;    0,000;74,36850
 297,41;  149,928;   50,051;    0,000;99,87682
 297,58;   73,522;   46,126;    0,000;27,39577
 297,75;  101,059;   92,098;    0,000; 8,96107
