Dark spectrum
Integration time [ms]:  25,000
Averaging Nr. [scans]: 15
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804344U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

293,333;   23,007;   23,007;    0,000
293,501;    9,042;    9,042;    0,000
293,670;   17,734;   17,734;    0,000
293,839;    7,813;    7,813;    0,000
294,008;   12,961;   12,961;    0,000
294,177;    2,530;    2,530;    0,000
294,345;  -11,719;  -11,719;    0,000
294,514;  -15,301;  -15,301;    0,000
294,683;   14,858;   14,858;    0,000
294,852;   25,827;   25,827;    0,000
295,020;    9,902;    9,902;    0,000
295,189;    8,022;    8,022;    0,000
295,358;   27,516;   27,516;    0,000
295,527;  -12,207;  -12,207;    0,000
295,695;   15,391;   15,391;    0,000
295,864;   31,222;   31,222;    0,000
296,033;   -5,947;   -5,947;    0,000
296,201;  -13,125;  -13,125;    0,000
296,370;   15,976;   15,976;    0,000
296,539;  -16,723;  -16,723;    0,000
296,708;    2,208;    2,208;    0,000
296,876;   -3,376;   -3,376;    0,000
297,045;    2,292;    2,292;    0,000
297,214;   11,054;   11,054;    0,000
297,382;   -8,538;   -8,538;    0,000
297,551;   -7,048;   -7,048;    0,000
297,720;   15,569;   15,569;    0,000
297,888;  -14,838;  -14,838;    0,000
298,057;    5,442;    5,442;    0,000
298,226;    9,608;    9,608;    0,000
298,394;    2,826;    2,826;    0,000
298,563;    9,263;    9,263;    0,000
298,731;   15,628;   15,628;    0,000
298,900;    5,203;    5,203;    0,000
299,069;   16,557;   16,557;    0,000
299,237;    8,091;    8,091;    0,000
299,406;   -9,791;   -9,791;    0,000
299,574;   -1,252;   -1,252;    0,000
299,743;   17,319;   17,319;    0,000
299,912;  -10,826;  -10,826;    0,000
300,080;   21,834;   21,834;    0,000
300,249;    3,083;    3,083;    0,000
300,417;   -4,722;   -4,722;    0,000
300,586;  -22,035;  -22,035;    0,000
300,754;   -9,004;   -9,004;    0,000
300,923;   16,198;   16,198;    0,000
301,091;    8,029;    8,029;    0,000
301,260;    1,627;    1,627;    0,000
301,428;    2,804;    2,804;    0,000
301,597;    2,738;    2,738;    0,000
301,766;    7,570;    7,570;    0,000
301,934;   20,613;   20,613;    0,000
302,103;  -16,534;  -16,534;    0,000
302,271;  -10,310;  -10,310;    0,000
302,439;    6,984;    6,984;    0,000
302,608;  -10,454;  -10,454;    0,000
302,776;    3,876;    3,876;    0,000
302,945;    3,765;    3,765;    0,000
303,113;   19,036;   19,036;    0,000
303,282;  -22,476;  -22,476;    0,000
303,450;   -2,521;   -2,521;    0,000
303,619;    8,036;    8,036;    0,000
303,787;   31,874;   31,874;    0,000
303,956;   26,082;   26,082;    0,000
304,124;   17,295;   17,295;    0,000
304,292;  -10,541;  -10,541;    0,000
304,461;    3,700;    3,700;    0,000
304,629;    0,719;    0,719;    0,000
304,798;    2,757;    2,757;    0,000
304,966;   22,910;   22,910;    0,000
305,134;   13,074;   13,074;    0,000
305,303;   -6,994;   -6,994;    0,000
305,471;    7,076;    7,076;    0,000
305,639;    5,042;    5,042;    0,000
305,808;   13,857;   13,857;    0,000
305,976;   21,945;   21,945;    0,000
306,145;  -17,813;  -17,813;    0,000
306,313;  -13,285;  -13,285;    0,000
306,481;   19,645;   19,645;    0,000
306,650;   20,484;   20,484;    0,000
306,818;   18,092;   18,092;    0,000
306,986;    0,032;    0,032;    0,000
307,155;   -5,874;   -5,874;    0,000
307,323;    3,896;    3,896;    0,000
307,491;   -6,947;   -6,947;    0,000
307,659;   -5,224;   -5,224;    0,000
307,828;    9,839;    9,839;    0,000
307,996;    0,360;    0,360;    0,000
308,164;   -6,026;   -6,026;    0,000
308,332;   29,216;   29,216;    0,000
308,501;  -11,322;  -11,322;    0,000
308,669;   -3,575;   -3,575;    0,000
308,837;   19,764;   19,764;    0,000
309,006;   18,738;   18,738;    0,000
309,174;  -24,249;  -24,249;    0,000
309,342;   -1,907;   -1,907;    0,000
309,510;   22,663;   22,663;    0,000
